Description,Code,Number of jobs (thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
  Norwich,E07000148,54,"25,175",,"31,348",,"9,385","16,953","18,670","20,333","22,609","28,948","35,561","40,081","42,427",x
  South Norfolk,E07000149,54,"26,577",,"29,212",,"8,875","14,734","17,184","19,739","23,167","31,136","35,647","37,647","41,531",x
Suffolk,E10000029,283,"24,770",,"29,035",,"8,699","13,123","15,727","18,009","21,431","28,155","32,662","35,402","39,715","49,862"
  Babergh,E07000200,35,"26,685",,"35,334",,x,"16,734","18,281","19,759","23,134","30,000","35,091",x,x,x
  Ipswich,E07000202,61,"23,771",,"26,361",,"8,295","13,019","15,354","18,190","21,159","26,907","30,694","34,068","37,892",x
  Mid Suffolk,E07000203,44,"25,569",,"28,373",,"8,938","12,539","15,655","17,733","22,156","28,528","32,348","35,831","39,711",x
  East Suffolk,E07000244,87,"23,359",,"26,540",,"8,149","12,123","14,210","16,383","19,649","26,858","31,625","33,457","37,796",x
  West Suffolk,E07000245,56,"25,751",,"32,411",,"9,931","13,811","17,404","19,304","22,889","28,946","34,934","39,161","44,172",x
London ,E12000007,"2,809","31,966",,"42,063",,"9,481","16,804","19,876","22,486","27,251","37,334","44,261","48,300","53,670","73,417"
Inner London,E13000001,"1,095","34,226",,"47,775",,"9,658","18,131","21,478","24,089","29,376","39,864","47,000","51,152","57,669","85,011"
  Camden,E09000007,62,"35,102",,"45,539",,x,x,x,"25,367","30,656","40,737","45,654",x,x,x
  City of London,E09000001,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Hackney,E09000012,83,"29,775",,"39,182",,"7,319","11,748","15,876","20,083","25,605","35,550","40,901","45,430","50,907",x
  Hammersmith and Fulham,E09000013,63,"37,618",,x,,"14,952","23,103","25,840","28,468","32,961","44,036","51,460","58,851",x,x
  Haringey,E09000014,82,"28,742",,"34,727",,"7,285","13,057","16,654","19,550","23,720","34,992","43,300","46,256","47,983",x
  Islington,E09000019,71,"34,832",,x,,"13,592","21,554","24,467","26,700","30,539","44,623","51,091","58,449","62,999",x
  Kensington and Chelsea,E09000020,36,"39,011",,"73,453",,x,"20,079","22,150","25,103","31,200","47,973",x,x,x,x
  Lambeth,E09000022,112,"35,484",,"43,600",,"12,815","19,977","24,271","26,134","30,438","41,131","46,912","51,944","56,524",x
  Lewisham,E09000023,103,"29,940",,"36,626",,x,"13,551","17,109","20,292","24,682","33,821","39,767","44,359","48,656",x
  Newham,E09000025,99,"30,473",,"34,921",,"10,192","16,724","19,813","22,321","26,055","34,862","40,133","43,857","48,033",x
  Southwark,E09000028,105,"34,193",,"42,628",,x,"18,296","22,467","24,772","30,233","39,670","47,605","50,426","56,999",x
  Tower Hamlets,E09000030,101,"35,949",,"45,076",,"10,008","18,066","21,461","24,186","31,274","40,988","48,500","54,693","61,184",x
  Wandsworth,E09000032,119,"37,929",,"59,152",,"10,926","20,414","24,822","27,725","32,886","45,062","55,434","62,771","72,699",x
  Westminster,E09000033,54,"39,635",,"59,525",,"14,734","22,833","24,868","27,381","33,641","45,551","52,707",x,x,x
Outer London,E13000002,"1,714","30,766",,"38,414",,"9,360","16,051","19,033","21,546","26,032","36,000","42,385","46,434","51,641","68,525"
  Barking and Dagenham,E09000002,53,"26,674",,"29,029",,"7,137","10,710","14,426","17,788","22,969","31,618","34,966","37,312","40,868",x
  Barnet,E09000003,117,"30,000",,"41,030",,"8,418","14,962","18,645","20,868","24,905","35,216","42,374","45,940","51,469",x
  Bexley,E09000004,87,"29,274",,"37,921",,"10,357","16,648","19,196","22,126","26,514","36,527","43,256","46,629","48,515",x
  Brent,E09000005,102,"28,367",,"33,338",,"10,015","15,592","17,999","19,945","23,564","33,227","39,565","43,176","46,558",x
  Bromley,E09000006,120,"34,020",,"44,697",,x,"15,987","19,644","21,818","27,460","39,998","48,129","52,568",x,x
  Croydon,E09000008,131,"32,065",,"36,934",,"9,670","18,000","20,754","22,875","28,160","36,908","42,654","46,796","51,523",x
  Ealing,E09000009,122,"29,676",,"41,583",,"8,567","15,178","18,009","20,561","24,883","35,161","40,641","46,426","52,512",x
  Enfield,E09000010,94,"27,519",,"32,481",,"8,134","12,383","15,012","18,613","23,321","31,922","38,469","43,566","50,156",x
  Greenwich,E09000011,90,"31,116",,"39,884",,x,"17,160","19,821","21,716","26,921","35,704","44,924","49,972","56,661",x
  Harrow,E09000015,77,"30,979",,"37,542",,x,"15,308","18,573","20,676","25,407","37,693","44,151","47,751","52,462",x
  Havering,E09000016,88,"30,587",,"36,093",,"9,476","15,565","18,454","20,840","27,775","35,806","40,932","46,157","51,644",x
  Hillingdon,E09000017,104,"30,815",,"34,732",,x,"18,441","21,062","23,023","26,935","36,383","41,812","45,527","49,281",x
  Hounslow,E09000018,89,"26,840",,"34,119",,"8,991","14,065","16,288","18,924","23,937","31,514","38,235","40,472","45,799",x
  Kingston upon Thames,E09000021,62,"35,130",,"45,581",,"11,420","19,511","22,869","24,425","30,070","41,929","48,267","52,665",x,x
  Merton,E09000024,73,"29,884",,"42,511",,"9,705","17,816","20,440","22,814","27,000","35,461","42,888","48,006",x,x
  Redbridge,E09000026,81,"31,407",,"36,905",,x,x,x,x,"26,225","35,847","42,429",x,x,x
  Richmond upon Thames,E09000027,61,"36,520",,"55,034",,"10,881",x,"23,177","25,673","31,285","43,883","52,347",x,x,x
  Sutton,E09000029,75,"29,931",,"35,259",,"8,584","14,600","18,221","20,448","26,142","35,254","38,617",x,x,x
  Waltham Forest,E09000031,89,"31,996",,"36,836",,"10,840","17,851","21,005","23,121","27,294","36,450","41,712","45,936","49,990",x
South East ,E12000008,"3,646","28,239",,"34,812",,"9,060","15,003","17,878","19,889","23,997","33,000","39,035","42,501","46,704","61,736"
Bracknell Forest UA,E06000036,56,"31,911",,"36,547",,"11,998","18,258","19,954","21,596","26,459","37,686","42,630","46,225",x,x
Brighton and Hove UA,E06000043,128,"26,289",,"30,663",,"7,865","13,132","16,466","18,848","22,579","31,079","35,392","38,049","41,865",x
Buckinghamshire UA,E06000060,204,"29,170",,"38,151",,x,"15,019","18,000","20,285","24,184","34,453","41,330","45,289","50,539",x
Isle of Wight UA,E06000046,44,"21,640",,"25,857",,"7,764","12,442","14,590","15,359","19,027","25,156","30,292","33,716","36,351",x
Medway UA,E06000035,108,"26,893",,"30,228",,"9,229","15,866","17,874","19,551","23,355","30,372","35,825","38,742","40,942",x
Milton Keynes UA,E06000042,110,"29,713",,"34,326",,"12,315","17,908","19,344","21,007","24,880","35,000","40,800","43,837","50,799",x
Portsmouth UA,E06000044,76,"24,999",,"27,355",,"7,698","12,665","14,658","17,957","20,977","28,132","32,974","35,762","40,654",x
Reading UA,E06000038,71,"31,183",,"37,104",,x,"17,403","20,126","21,588","25,461","36,542","42,522","45,146","50,815",x
Slough UA,E06000039,52,"29,758",,"33,065",,"10,870","18,005","20,325","21,670","25,517","34,761","38,961","42,948","47,296",x
Southampton UA,E06000045,108,"26,970",,"29,656",,"9,461","15,686","18,023","19,649","22,705","30,875","35,504","38,013","40,117",x
West Berkshire UA,E06000037,68,"31,009",,"39,736",,x,"18,215","21,026","23,074","27,509","34,169","44,608",x,x,x
Windsor and Maidenhead UA,E06000040,65,"32,210",,"46,719",,"9,474","17,725","20,431","22,855","27,757","38,825","47,592","50,780",x,x
Wokingham ,E06000041,76,"33,925",,"42,308",,"10,939",x,"19,433","22,588","27,135","38,978","50,179",x,x,x
East Sussex,E10000011,195,"24,046",,"29,514",,"8,158","12,830","14,462","17,189","20,432","27,891","34,551","38,067","40,941",x
  Eastbourne,E07000061,33,"23,627",,"27,493",,x,x,x,"17,022","20,380","27,084","36,063",x,x,x
  Hastings,E07000062,37,"22,988",,"25,024",,"9,589","14,001","15,538","17,644","20,185","26,009","30,864","34,009","36,266",x
  Lewes,E07000063,37,"27,142",,"34,327",,x,"13,264","15,939","18,796","22,676","31,698","36,222",x,x,x
  Rother,E07000064,30,"22,401",,"30,171",,"8,070","11,173","12,653","14,244","18,944","25,922","31,900",x,x,x
  Wealden,E07000065,59,"24,498",,"30,119",,"6,871","12,200","14,005","16,027","20,042","29,655","36,834","40,388",x,x
Hampshire,E10000014,624,"28,607",,"33,637",,"9,157","15,218","18,397","20,170","24,522","33,447","39,142","41,808","46,023","60,657"
  Basingstoke and Deane,E07000084,82,"32,544",,"36,362",,"11,602","19,367","21,129","22,949","27,763","37,667","41,524","44,498","49,364",x
  East Hampshire,E07000085,59,"29,212",,"38,452",,"9,445","15,967","18,174","20,122","25,558","34,200","40,769","44,624",x,x
  Eastleigh,E07000086,70,"28,822",,"31,869",,x,"16,215","19,043","20,404","24,775","32,764","38,543","41,791","45,303",x
  Fareham,E07000087,50,x,,"35,160",,x,x,x,x,x,x,x,x,x,x
  Gosport,E07000088,39,"26,464",,"29,375",,x,"13,254","17,286","19,258","22,572","30,775","35,344","37,746","41,590",x
  Hart,E07000089,37,"30,943",,"40,750",,"10,046","17,254","21,726","24,294","27,896","39,240","46,054",x,x,x
  Havant,E07000090,50,"24,526",,"28,284",,"8,385","13,638","16,442","18,955","22,294","27,674","33,713","37,135","42,249",x
  New Forest,E07000091,75,"23,847",,"29,122",,x,"10,566","12,391","14,686","19,554","28,414","34,082","38,558",x,x
  Rushmoor,E07000092,42,"27,446",,"33,668",,x,"17,225","19,273","20,931","23,891","33,376","38,079","40,605","42,461",x
  Test Valley,E07000093,66,"28,520",,"32,038",,"8,692","13,920","17,485","19,713","23,831","32,629","37,640","40,533","44,491",x
  Winchester,E07000094,54,"31,977",,"36,468",,"10,598","17,250","20,850","22,712","26,403","35,965","40,386","42,478",x,x
Kent,E10000016,559,"27,150",,"34,753",,"9,004","14,802","17,082","18,992","22,883","31,673","37,652","41,373","45,862","58,753"
  Ashford,E07000105,43,"24,333",,"29,184",,"10,033","15,013","16,131","17,576","20,732","29,354","33,176","35,093",x,x
  Canterbury,E07000106,54,"24,727",,"30,970",,x,x,x,x,"21,427",x,x,x,x,x
  Dartford,E07000107,44,"29,056",,"33,112",,"10,864","16,039","18,982","21,521","25,559","34,986","40,555","42,175","44,992",x
  Dover,E07000108,36,"25,463",,"30,126",,"9,119","14,220","17,125","18,392","22,603","29,481","35,002","36,732","41,107",x
  Gravesham,E07000109,37,"27,368",,"30,677",,x,x,x,"19,062","23,867","30,584","38,983","42,186",x,x
  Maidstone,E07000110,69,"28,068",,"32,440",,"10,297","14,478","17,565","19,334","23,243","32,000","38,058","41,924",x,x
  Sevenoaks,E07000111,42,x,,"41,777",,x,x,x,x,x,x,x,x,x,x
  Folkestone and Hythe,E07000112,37,"26,078",,"29,282",,"7,206","13,184","16,354","18,608","22,196","31,762","36,421","39,932","43,276",x
  Swale,E07000113,60,"26,053",,"31,762",,x,"14,998","16,657","18,214","21,646","30,590","35,485","38,151",x,x
  Thanet,E07000114,43,"22,730",,"26,701",,x,x,x,x,"18,938","26,525",x,x,x,x
  Tonbridge and Malling,E07000115,55,"31,218",,"38,925",,"9,723","15,775","18,909","21,206","27,102","36,379","43,211","47,920","53,723",x
  Tunbridge Wells,E07000116,40,"32,352",,x,,x,"18,318","20,010","22,033","26,696","37,626","46,587",x,x,x
Oxfordshire,E10000025,316,"29,543",,"34,488",,"9,808","16,464","19,408","21,344","25,070","34,343","40,000","43,501","47,195","57,012"
  Cherwell,E07000177,67,"29,579",,"33,169",,"10,387","16,657","18,455","20,392","24,075","33,991","38,908","42,108","45,711",x
  Oxford,E07000178,64,"29,261",,"32,963",,"8,440","16,329","20,127","21,302","24,677","34,022","39,266","41,450","44,983",x
  South Oxfordshire,E07000179,64,"31,031",,"39,072",,x,x,x,x,"26,415","36,077","40,728",x,x,x
  Vale of White Horse,E07000180,64,"32,099",,"37,016",,"10,667","18,649","21,235","22,526","26,752","35,538","42,672","46,670","53,025",x
  West Oxfordshire,E07000181,57,"27,250",,"29,716",,"9,049","14,925","16,508","20,317","23,239","29,570","37,517","40,673","44,985",x
Surrey,E10000030,450,"31,619",,"42,296",,"9,369","15,294","18,281","20,972","27,076","37,803","44,730","48,834","54,502","75,355"
  Elmbridge,E07000207,48,"32,836",,x,,"9,343","14,974","17,130","22,011","28,321","39,620","46,354",x,x,x
  Epsom and Ewell,E07000208,33,"29,545",,"33,835",,x,"13,057","16,627","19,807","25,459","34,606",x,x,x,x
  Guildford,E07000209,57,"32,518",,"41,792",,"9,583","16,175","19,889","21,723","27,491","40,409","47,081",x,x,x
  Mole Valley,E07000210,33,"28,039",,"40,259",,x,"11,968","14,914","16,929","23,523","32,292","45,506",x,x,x
  Reigate and Banstead,E07000211,50,"32,291",,"39,522",,"10,431","15,766","18,336","21,089","26,284","37,986","43,606","46,566",x,x
  Runnymede,E07000212,32,"33,500",,"37,605",,x,"17,370","19,753","21,051","28,590","36,869","43,011","48,098",x,x
  Spelthorne,E07000213,38,"31,440",,x,,"8,882",x,x,"24,400","28,120","36,843","45,031",x,x,x
  Surrey Heath,E07000214,35,"36,930",,"45,475",,"10,579","19,176","21,745","25,842","31,521","42,643","50,544",x,x,x
  Tandridge,E07000215,32,"30,006",,"41,660",,x,"12,258","15,634","19,163","26,628","36,571","41,041","46,806",x,x
  Waverley,E07000216,49,"30,305",,"40,941",,"10,037","15,796","17,919","19,946","24,991","37,436","45,933","49,307",x,x
  Woking,E07000217,43,"30,188",,"36,523",,"9,218","14,945","17,640","19,296","24,200","37,133","40,940","43,447",x,x
West Sussex,E10000032,339,"25,678",,"30,744",,"8,573","13,343","16,336","18,532","22,138","29,963","35,613","38,372","42,432",x
  Adur,E07000223,22,x,,"26,505",,"8,712",x,x,x,x,x,x,x,x,x
  Arun,E07000224,55,"22,938",,"26,217",,"8,821","12,490","15,225","17,366","20,369","25,563","31,813","34,613","37,228",x
  Chichester,E07000225,41,"24,423",,"28,614",,"7,529","12,982","14,819","18,037","20,880","28,098","33,270","38,218","44,411",x
  Crawley,E07000226,47,"26,673",,"31,046",,"9,219","15,186","17,548","18,862","22,824","30,734","34,312","38,148","43,711",x
  Horsham,E07000227,55,"25,787",,"33,426",,"7,582","10,786","13,597","17,293","21,033","29,888","38,569","42,670",x,x
  Mid Sussex,E07000228,72,"27,428",,"34,991",,x,x,"18,534","20,463","24,628","33,569",x,x,x,x
  Worthing,E07000229,47,"26,673",,"29,879",,x,"13,601","17,109","19,032","23,964","30,236",x,x,x,x
South West ,E12000009,"2,048","24,167",,"28,130",,"8,253","12,975","15,338","17,516","20,901","28,050","32,633","35,500","38,892","49,833"
Bath and North East Somerset UA,E06000022,67,"24,204",,"29,573",,"7,748","11,798","13,603","15,963","20,000","27,881","33,143","38,064",x,x
"Bournemouth, Christchurch and Poole UA",E06000058,141,"24,321",,"28,790",,x,"14,163","17,195","18,613","21,325","28,119","32,531","35,639","39,582",x
"Bristol, City of UA",E06000023,188,"26,936",,"30,482",,"9,476","14,977","17,264","19,288","23,052","30,947","35,220","38,040","41,609",x
Dorset UA,E06000059,136,"24,579",,"27,433",,"6,711","12,212","14,568","17,380","21,063","27,948","32,164","35,414","39,033",x
North Somerset UA,E06000024,81,"24,968",,"29,201",,"9,603","14,309","16,862","18,134","21,219","28,492","34,631","38,128","41,455",x
Plymouth UA,E06000026,78,"22,064",,"23,735",,"7,756","12,588","13,946","16,255","19,619","24,738","28,249","30,000","33,402",x
South Gloucestershire UA,E06000025,116,"26,020",,"29,293",,"8,478","14,365","16,388","18,371","21,877","30,223","34,970","39,029","41,597",x
Swindon UA,E06000030,98,"27,247",,"31,977",,"10,010","15,966","18,214","20,351","23,445","30,691","34,888","38,540","43,873",x
Torbay UA,E06000027,50,"23,293",,"24,889",,"9,326","13,203","15,222","16,696","19,707","25,448","29,252","31,535","34,906",x
Cornwall UA,E06000052,163,"21,339",,"23,898",,x,"11,733","13,653","14,892","18,584","24,441","29,053","30,879","34,306",x
Isles of Scilly ,E06000053,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Wiltshire UA,E06000054,203,"24,855",,"30,438",,"8,019","13,106","15,227","17,682","21,353","29,029","33,996","36,667","40,832","52,907"
Devon,E10000008,273,"22,346",,"25,919",,x,"11,499","13,763","15,677","19,545","25,882","30,500","33,374","36,571",x
  East Devon,E07000040,48,"23,551",,"28,091",,x,"12,090","15,113","17,997","20,919","28,066","32,453","36,922","39,723",x
  Exeter,E07000041,48,"23,340",,"26,728",,x,x,"15,192","17,796","20,561","28,778","33,489","34,949","38,757",x
  Mid Devon,E07000042,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  North Devon,E07000043,36,"21,335",,"23,135",,"6,238","10,302","12,148","13,128","16,473","23,710","26,701","28,792","30,589",x
  South Hams,E07000044,23,"24,066",,"29,005",,"8,678","13,040","14,459","16,713","20,301","27,280","32,987","36,268",x,x
  Teignbridge,E07000045,42,"21,499",,"25,092",,x,x,"15,116","16,223","19,623","24,758","29,789",x,x,x
  Torridge,E07000046,27,x,,"23,447",,x,"9,291","10,982","12,301",x,x,x,x,x,x
  West Devon,E07000047,18,"19,539",,"22,841",,x,"8,926",x,"12,229","16,285","21,901",x,x,x,x
Gloucestershire,E10000013,229,"25,725",,"30,137",,"8,603","13,742","16,333","18,462","21,940","30,290","35,250","38,407","42,489","53,420"
  Cheltenham,E07000078,46,"30,445",,"34,711",,"8,804","15,951","18,904","20,957","24,288","34,446","38,585","44,219",x,x
  Cotswold,E07000079,31,"22,067",,"29,686",,"8,501","12,500","15,410","17,335","19,731","29,512","33,842","38,074",x,x
  Forest of Dean,E07000080,27,"23,576",,"29,455",,"8,119","11,978","14,448","16,086","20,397","27,813","35,601",x,x,x
  Gloucester,E07000081,48,"23,649",,"26,681",,"8,755","13,077","15,817","18,402","21,105",x,x,x,x,x
  Stroud,E07000082,44,"25,159",,"30,302",,"8,441","13,749","16,554","18,547","22,354","29,368","34,347","37,685","40,707",x
  Tewkesbury,E07000083,32,"28,308",,"29,495",,x,x,x,x,"23,973","32,012","35,134",x,x,x
Somerset,E10000027,226,"23,128",,"26,971",,"7,980","12,581","14,481","16,761","20,063","26,633","30,999","33,361","36,706","48,185"
  Mendip,E07000187,50,"22,723",,"27,408",,x,"12,696","14,028","16,088","19,221","26,313","31,169","32,778","35,772",x
  Sedgemoor,E07000188,44,"21,790",,"27,859",,"7,512","11,479","13,550","17,052","19,404","26,350","28,934","31,846","35,999",x
  South Somerset,E07000189,74,"23,956",,"26,615",,x,"12,936","14,826","16,386","20,584","27,495","32,112","35,053","38,024",x
  Somerset West and Taunton,E07000246,59,"23,604",,"26,383",,"8,626","12,665","15,327","17,330","20,572","27,315","30,750","33,526","36,218",x
Wales  ,W92000004,"1,094","24,030",,"27,118",,"8,757","13,817","16,074","17,988","20,924","27,808","32,234","35,187","38,512","46,439"
Isle of Anglesey / Ynys Môn,W06000001,24,"26,322",,"27,212",,x,"14,597","16,729","18,520","20,972","28,672","31,926","34,805",x,x
Gwynedd / Gwynedd,W06000002,40,"19,875",,"23,116",,"6,772","10,920","13,200","14,180","17,494","23,359","25,813","30,383","34,712",x
Conwy / Conwy,W06000003,42,"22,699",,"25,115",,"7,165","11,404","14,090","15,631","18,486","25,988","32,634","34,430","37,926",x
Denbighshire / Sir Ddinbych,W06000004,28,"22,009",,"24,056",,"8,720","12,223","13,483","15,287","19,738","24,214","28,744","31,440","33,372",x
Flintshire / Sir y Fflint,W06000005,59,"24,829",,"32,620",,"11,179","16,218","18,067","19,051","20,822","30,014","33,164","35,796","37,797",x
Wrexham / Wrecsam,W06000006,53,"23,572",,"25,957",,"8,288","12,479","15,538","17,501","20,174","26,751","31,900","33,461","36,972",x
Powys / Powys,W06000023,36,"22,283",,"24,663",,x,"12,543","14,617","16,422","20,142","25,012","30,475","32,670","34,889",x
Ceredigion / Ceredigion,W06000008,26,"23,401",,"27,453",,x,"12,818","14,682","17,525","20,299","27,222","30,820","36,537",x,x
Pembrokeshire / Sir Benfro,W06000009,39,"23,757",,"27,923",,"8,695","13,963","15,455","17,283","21,203","27,708","33,361","37,575","41,111",x
Carmarthenshire / Sir Gaerfyrddin,W06000010,70,"24,454",,"27,758",,"8,466","13,112","15,921","17,771","21,168","27,620","33,245","36,095","39,826",x
Swansea / Abertawe,W06000011,80,"23,485",,"26,225",,"8,628","13,534","15,993","17,930","20,615","27,985","30,874","33,243","37,224",x
Neath Port Talbot / Castell-nedd Port Talbot,W06000012,55,"24,935",,"27,374",,"9,507","15,196","17,011","18,934","21,704","29,229","32,987","36,267","38,919",x
Bridgend / Pen-y-bont ar Ogwr,W06000013,52,"23,836",,"26,204",,"7,671","12,939","16,460","18,144","20,734","27,672","32,313","35,334","39,770",x
Vale of Glamorgan / Bro Morgannwg,W06000014,44,"26,121",,"29,462",,"9,871","16,770","18,550","20,012","22,481","29,994","35,900","39,469","41,958",x
Cardiff / Caerdydd,W06000015,126,"24,657",,"27,605",,"9,701","14,140","16,086","18,378","21,903","28,401","32,669","35,575","39,054","49,236"
Rhondda Cynon Taf / Rhondda Cynon Taf,W06000016,86,"23,127",,"25,795",,"7,891","13,180","15,289","17,086","20,214","25,929","30,520","33,785","36,638",x
Merthyr Tydfil / Merthyr Tudful,W06000024,28,"24,645",,"27,502",,x,"15,999","18,264","19,586","21,911","27,621","30,066","31,568",x,x
Caerphilly / Caerffili,W06000018,65,"24,782",,"26,584",,"8,151","12,760","15,026","17,673","20,977","28,447","31,454","33,710","38,443",x
Blaenau Gwent / Blaenau Gwent,W06000019,22,"21,794",,"23,950",,x,"12,603","17,143","18,405","20,085","25,557","29,646","32,808","35,309",x
Torfaen / Torfaen,W06000020,31,"23,370",,"27,788",,x,"15,577","17,718","19,982","21,773","26,503","34,533","36,965","38,428",x
Monmouthshire / Sir Fynwy,W06000021,32,"29,914",,"33,575",,"8,983","16,934","18,171","20,480","23,859","34,124","39,627","41,206",x,x
Newport / Casnewydd,W06000022,58,"24,583",,"26,933",,"9,345","15,344","17,490","18,519","21,952","28,423","32,228","34,785","39,409",x
Scotland ,S92000003,"2,023","26,078",,"29,896",,"9,170","14,737","17,174","19,101","22,538","30,449","35,427","38,430","41,468","50,987"
Aberdeen City,S12000033,93,"25,278",,"28,725",,"8,612","14,200","17,142","18,760","21,949","28,930","34,206","36,585","40,392",x
Aberdeenshire,S12000034,84,"25,128",,"29,650",,"8,031","13,197","15,050","17,934","21,738","29,968","35,234","38,277","41,895",x
Angus,S12000041,46,"23,594",,"26,419",,x,"12,924","15,048","17,196",x,"28,619","32,486",x,x,x
Argyll and Bute,S12000035,32,"23,477",,"23,722",,x,"11,645","13,652","16,112","19,647","26,204","30,063","32,335","34,827",x
Clackmannanshire,S12000005,24,"27,020",,"30,459",,"10,253","16,648","17,884","19,747","23,114","30,321","34,953","36,627",x,x
Dumfries and Galloway,S12000006,50,"23,030",,"25,346",,"7,992","12,177","15,320","17,535","19,668","26,478","30,239","33,575","35,651",x
Dundee City,S12000042,57,"24,808",,"26,070",,"9,870","15,554","18,178","19,811","21,440","27,276","31,450","33,780","35,859",x
East Ayrshire,S12000008,51,"25,135",,"27,938",,"8,581","12,968","15,035","18,685","21,707","30,222","34,161","37,978","40,615",x
East Dunbartonshire,S12000045,40,"30,860",,"37,693",,"11,910","16,140","17,385","20,486","25,551","36,081","43,485","45,006","49,890",x
East Lothian,S12000010,37,x,,"30,409",,x,x,x,x,x,x,x,x,x,x
East Renfrewshire,S12000011,35,"35,077",,"42,517",,x,x,x,"24,376","27,408","42,184",x,x,x,x
City of Edinburgh,S12000036,180,"28,164",,"34,627",,"10,277","15,528","18,276","20,284","24,149","32,724","39,631","43,253","47,533",x
Falkirk,S12000014,60,"25,909",,"28,066",,"9,628","15,206","18,128","19,755","22,818","29,895","33,023","35,015","37,834",x
Fife,S12000047,137,"25,599",,"28,873",,"9,010","13,728","16,886","18,795","21,806","30,000","35,080","37,454","41,412","49,283"
Glasgow City,S12000049,219,"25,461",,"29,429",,"8,819","14,293","16,505","18,476","21,662","30,277","35,506","38,401","41,479",x
Highland,S12000017,92,"25,377",,"27,698",,"8,970","13,970","16,355","18,945","22,261","29,108","34,672","36,579","39,120",x
Inverclyde,S12000018,27,"24,796",,"25,884",,"8,445","11,949","14,341","15,596","19,503","29,305","32,479","34,453","37,207",x
Midlothian,S12000019,45,"25,636",,"29,349",,"9,420","14,267","15,878","19,116","21,999","28,950","33,935","36,877","40,873",x
Moray,S12000020,33,"22,966",,"28,147",,x,"11,985","13,237","15,701","19,528","25,659","31,593","37,519",x,x
Na h-Eileanan Siar,S12000013,9,"27,152",,"29,444",,x,x,"21,272","22,459","25,915","29,619",x,x,x,x
North Ayrshire,S12000021,50,"26,408",,"29,296",,"8,814",x,"17,446","18,992","21,853","31,449","35,151","38,279",x,x
North Lanarkshire,S12000050,131,"25,770",,"28,517",,"8,988","14,992","17,419","19,543","22,938","29,825","34,971","37,095","40,000","47,496"
Orkney Islands,S12000023,10,"21,434",,"26,663",,x,x,x,"18,100","19,887",x,x,x,x,x
Perth and Kinross,S12000048,68,"26,775",,"30,741",,"11,696","15,843","17,524","18,975","22,913","30,079","34,963","38,208","41,251",x
Renfrewshire,S12000038,64,"27,569",,"30,806",,"8,966","15,029","17,214","19,952","23,996","32,954","37,944","40,708","43,248",x
Scottish Borders,S12000026,42,"23,559",,"26,496",,"9,403","14,549","16,395","17,499","20,381","27,245","31,240","34,109","36,622",x
Shetland Islands,S12000027,10,"29,282",,"32,513",,x,"17,463","19,890","20,542","25,782","33,483","40,612",x,x,x
South Ayrshire,S12000028,39,"25,910",,"29,334",,x,x,x,x,"22,282","32,480","37,160",x,x,x
South Lanarkshire,S12000029,132,"27,200",,"30,699",,"8,942","15,433","18,395","20,183","24,158","32,614","36,914","40,698","42,181",x
Stirling,S12000030,33,"27,830",,"38,395",,"13,963","17,601","18,529","21,287","23,545","34,436","40,154","42,273",x,x
West Dunbartonshire,S12000039,34,"25,482",,"28,802",,"8,758","14,038","17,194","18,236","22,419","29,723","35,563","38,674","40,500",x
West Lothian,S12000040,59,"27,751",,"30,799",,"10,633","16,981","19,050","21,183","24,418","31,216","35,592","38,498","42,255",x
Northern Ireland ,N92000002,896,"24,068",,"27,644",,"8,283","13,312","15,430","17,590","20,877","27,671","32,582","35,067","38,751","48,345"
Not Classified,,182,"25,000",,"29,195",,"6,670","12,319","15,283","17,029","20,607","28,932","33,822","36,872","40,884",x
